#time 	S+S- 	 norm 
# 2019_08_20_13_04_24 
25.5000000000 	 0.0000000000 	          0 
26.0000000000 	 0.0006165812 	          1 
26.5000000000 	 0.0024158288 	          1 
27.0000000000 	 0.0053227720 	          1 
27.5000000000 	 0.0092630234 	          1 
28.0000000000 	 0.0141632980 	          1 
28.5000000000 	 0.0199515071 	          1 
29.0000000000 	 0.0265569205 	          1 
29.5000000000 	 0.0339103152 	          1 
30.0000000000 	 0.0419441110 	          1 
30.5000000000 	 0.0505924916 	          1 
31.0000000000 	 0.0597915140 	          1 
31.5000000000 	 0.0694792051 	          1 
32.0000000000 	 0.0795956529 	          1 
32.5000000000 	 0.0900830638 	          1 
33.0000000000 	 0.1008858368 	          1 
33.5000000000 	 0.1119506113 	          1 
34.0000000000 	 0.1232263081 	          1 
34.5000000000 	 0.1346641602 	          1 
35.0000000000 	 0.1462177347 	          1 
35.5000000000 	 0.1578429436 	          1 
36.0000000000 	 0.1694980954 	          1 
36.5000000000 	 0.1811437835 	          1 
37.0000000000 	 0.1927429647 	          1 
37.5000000000 	 0.2042609162 	          1 
38.0000000000 	 0.2156652094 	          1 
38.5000000000 	 0.2269257049 	          1 
39.0000000000 	 0.2380144650 	          1 
39.5000000000 	 0.2489057549 	          1 
40.0000000000 	 0.2595759847 	          1 
40.5000000000 	 0.2700036603 	          1 
41.0000000000 	 0.2801693323 	          1 
41.5000000000 	 0.2900555385 	          1 
42.0000000000 	 0.2996467568 	          1 
42.5000000000 	 0.3089292885 	          1 
43.0000000000 	 0.3178912742 	          1 
43.5000000000 	 0.3265225508 	          1 
44.0000000000 	 0.3348146349 	          1 
44.5000000000 	 0.3427606365 	          1 
45.0000000000 	 0.3503551743 	          1 
45.5000000000 	 0.3575943316 	          1 
46.0000000000 	 0.3644755608 	          1 
46.5000000000 	 0.3709976818 	          1 
47.0000000000 	 0.3771606228 	          1 
47.5000000000 	 0.3829655433 	          1 
48.0000000000 	 0.3884146710 	          1 
48.5000000000 	 0.3935112561 	          1 
49.0000000000 	 0.3982594943 	          1 
49.5000000000 	 0.4026645136 	          1 
50.0000000000 	 0.4067321327 	          1 
50.5000000000 	 0.4104693491 	          1 
51.0000000000 	 0.4139261995 	          1 
51.5000000000 	 0.4171502882 	          1 
52.0000000000 	 0.4201530344 	          1 
52.5000000000 	 0.4229363378 	          1 
53.0000000000 	 0.4255061291 	          1 
53.5000000000 	 0.4278682719 	          1 
54.0000000000 	 0.4300286104 	          1 
54.5000000000 	 0.4319932852 	          1 
55.0000000000 	 0.4337685432 	          1 
55.5000000000 	 0.4353606208 	          1 
56.0000000000 	 0.4367748775 	          1 
56.5000000000 	 0.4380170521 	          1 
