#time 	S+S- 	 norm 
# 2019_08_20_13_08_46 
40.5000000000 	 0.0000000000 	          0 
41.0000000000 	 0.0006165812 	          1 
41.5000000000 	 0.0024158288 	          1 
42.0000000000 	 0.0053227720 	          1 
42.5000000000 	 0.0092630234 	          1 
43.0000000000 	 0.0141632980 	          1 
43.5000000000 	 0.0199515071 	          1 
44.0000000000 	 0.0265569205 	          1 
44.5000000000 	 0.0339103152 	          1 
45.0000000000 	 0.0419441110 	          1 
45.5000000000 	 0.0505924916 	          1 
46.0000000000 	 0.0597915140 	          1 
46.5000000000 	 0.0694792051 	          1 
47.0000000000 	 0.0795956529 	          1 
47.5000000000 	 0.0900830638 	          1 
48.0000000000 	 0.1008858368 	          1 
48.5000000000 	 0.1119506113 	          1 
49.0000000000 	 0.1232263081 	          1 
49.5000000000 	 0.1346641602 	          1 
50.0000000000 	 0.1462177347 	          1 
50.5000000000 	 0.1578429436 	          1 
51.0000000000 	 0.1694980954 	          1 
51.5000000000 	 0.1811437835 	          1 
52.0000000000 	 0.1927429647 	          1 
52.5000000000 	 0.2042609162 	          1 
53.0000000000 	 0.2156652094 	          1 
53.5000000000 	 0.2269257049 	          1 
54.0000000000 	 0.2380144650 	          1 
54.5000000000 	 0.2489057549 	          1 
55.0000000000 	 0.2595759847 	          1 
55.5000000000 	 0.2700036603 	          1 
56.0000000000 	 0.2801693323 	          1 
56.5000000000 	 0.2900555385 	          1 
57.0000000000 	 0.2996467568 	          1 
57.5000000000 	 0.3089292885 	          1 
58.0000000000 	 0.3178912742 	          1 
58.5000000000 	 0.3265225508 	          1 
59.0000000000 	 0.3348146349 	          1 
59.5000000000 	 0.3427606365 	          1 
60.0000000000 	 0.3503551743 	          1 
60.5000000000 	 0.3575943316 	          1 
61.0000000000 	 0.3644755608 	          1 
61.5000000000 	 0.3709976818 	          1 
62.0000000000 	 0.3771606228 	          1 
62.5000000000 	 0.3829655433 	          1 
63.0000000000 	 0.3884146710 	          1 
63.5000000000 	 0.3935112561 	          1 
64.0000000000 	 0.3982594943 	          1 
64.5000000000 	 0.4026645136 	          1 
65.0000000000 	 0.4067321327 	          1 
65.5000000000 	 0.4104693491 	          1 
66.0000000000 	 0.4138831623 	          1 
66.5000000000 	 0.4169815269 	          1 
67.0000000000 	 0.4197729254 	          1 
67.5000000000 	 0.4222663190 	          1 
68.0000000000 	 0.4244711041 	          1 
68.5000000000 	 0.4263972760 	          1 
69.0000000000 	 0.4280547765 	          1 
