#time 	S+S- 	 norm 
# 2019_09_24_14_42_11 
56.0000000000 	 0.6421296766 	          1 
64.0000000000 	 0.3371330077 	          1 
72.0000000000 	 0.1770026663 	          1 
80.0000000000 	 0.0929305146 	          1 
88.0000000000 	 0.0487906805 	          1 
96.0000000000 	 0.0256162415 	          1 
104.0000000000 	 0.0539300533 	          1 
112.0000000000 	 0.1359896013 	          1 
120.0000000000 	 0.1710971568 	          1 
128.0000000000 	 0.1648384784 	          1 
136.0000000000 	 0.1378243430 	          1 
144.0000000000 	 0.1055316466 	          1 
152.0000000000 	 0.0769413887 	          1 
160.0000000000 	 0.0753282020 	          1 
168.0000000000 	 0.0910092468 	          1 
176.0000000000 	 0.1092619129 	          1 
184.0000000000 	 0.1210537410 	          1 
192.0000000000 	 0.1227622740 	          1 
200.0000000000 	 0.1151371673 	          1 
208.0000000000 	 0.1030324298 	          1 
216.0000000000 	 0.0955962474 	          1 
224.0000000000 	 0.0947594535 	          1 
232.0000000000 	 0.0984940480 	          1 
240.0000000000 	 0.1037626621 	          1 
248.0000000000 	 0.1076785620 	          1 
256.0000000000 	 0.1082773651 	          1 
264.0000000000 	 0.1057366124 	          1 
272.0000000000 	 0.1022843130 	          1 
280.0000000000 	 0.0998196774 	          1 
288.0000000000 	 0.0990928175 	          1 
296.0000000000 	 0.0998719531 	          1 
304.0000000000 	 0.1013129220 	          1 
312.0000000000 	 0.1023811342 	          1 
320.0000000000 	 0.1024666623 	          1 
328.0000000000 	 0.1016734793 	          1 
336.0000000000 	 0.1005230642 	          1 
344.0000000000 	 0.0995540188 	          1 
352.0000000000 	 0.0990739576 	          1 
360.0000000000 	 0.0990810117 	          1 
368.0000000000 	 0.0993255464 	          1 
376.0000000000 	 0.0994976945 	          1 
384.0000000000 	 0.0994085019 	          1 
392.0000000000 	 0.0990512920 	          1 
400.0000000000 	 0.0985528062 	          1 
408.0000000000 	 0.0980766816 	          1 
416.0000000000 	 0.0977350596 	          1 
424.0000000000 	 0.0975447913 	          1 
432.0000000000 	 0.0974428928 	          1 
440.0000000000 	 0.0973390609 	          1 
448.0000000000 	 0.0971675334 	          1 
456.0000000000 	 0.0969129074 	          1 
464.0000000000 	 0.0966049643 	          1 
472.0000000000 	 0.0962927793 	          1 
480.0000000000 	 0.0960155271 	          1 
488.0000000000 	 0.0957855318 	          1 
496.0000000000 	 0.0955889742 	          1 
504.0000000000 	 0.0953992555 	          1 
512.0000000000 	 0.0951932319 	          1 
520.0000000000 	 0.0949617722 	          1 
528.0000000000 	 0.0947108591 	          1 
536.0000000000 	 0.0944549312 	          1 
544.0000000000 	 0.0942076681 	          1 
552.0000000000 	 0.0939754210 	          1 
560.0000000000 	 0.0937558555 	          1 
568.0000000000 	 0.0935411895 	          1 
576.0000000000 	 0.0933233453 	          1 
584.0000000000 	 0.0930980287 	          1 
592.0000000000 	 0.0928659606 	          1 
600.0000000000 	 0.0926313243 	          1 
608.0000000000 	 0.0923988659 	          1 
616.0000000000 	 0.0921714034 	          1 
624.0000000000 	 0.0919488760 	          1 
632.0000000000 	 0.0917290470 	          1 
640.0000000000 	 0.0915091283 	          1 
648.0000000000 	 0.0912873023 	          1 
656.0000000000 	 0.0910634035 	          1 
664.0000000000 	 0.0908386164 	          1 
672.0000000000 	 0.0906145681 	          1 
680.0000000000 	 0.0903924092 	          1 
688.0000000000 	 0.0901723457 	          1 
696.0000000000 	 0.0899537524 	          1 
704.0000000000 	 0.0897356796 	          1 
712.0000000000 	 0.0895174048 	          1 
720.0000000000 	 0.0892987445 	          1 
728.0000000000 	 0.0890800214 	          1 
736.0000000000 	 0.0888617846 	          1 
744.0000000000 	 0.0886444791 	          1 
752.0000000000 	 0.0884282442 	          1 
760.0000000000 	 0.0882129127 	          1 
768.0000000000 	 0.0879981652 	          1 
776.0000000000 	 0.0877837266 	          1 
784.0000000000 	 0.0875694949 	          1 
792.0000000000 	 0.0873555521 	          1 
800.0000000000 	 0.0871420798 	          1 
# end of calculation 2019_09_24_14_43_11 
# time difference 00_00_00_00_01_00 
