#time 	S+S- 	 norm 
# 2019_08_19_14_58_34 
0.000000 	 1.000000e+00 	 0.000000e+00 
0.5000000000 	 0.9599303577 	          1 
1.0000000000 	 0.9203312489 	          1 
1.5000000000 	 0.8813029310 	          1 
2.0000000000 	 0.8429379425 	          1 
2.5000000000 	 0.8053212566 	          1 
3.0000000000 	 0.7685304502 	          1 
3.5000000000 	 0.7326358871 	          1 
4.0000000000 	 0.6977009138 	          1 
4.5000000000 	 0.6637820657 	          1 
5.0000000000 	 0.6309292843 	          1 
5.5000000000 	 0.5991861419 	          1 
6.0000000000 	 0.5685900741 	          1 
6.5000000000 	 0.5391726184 	          1 
7.0000000000 	 0.5109596570 	          1 
7.5000000000 	 0.4839716682 	          1 
8.0000000000 	 0.4582239948 	          1 
8.5000000000 	 0.4337270529 	          1 
9.0000000000 	 0.4104866169 	          1 
9.5000000000 	 0.3885040609 	          1 
10.0000000000 	 0.3727767548 	          1 
10.5000000000 	 0.3582312751 	          1 
11.0000000000 	 0.3448041686 	          1 
11.5000000000 	 0.3324363137 	          1 
12.0000000000 	 0.3210725372 	          1 
12.5000000000 	 0.3106612911 	          1 
13.0000000000 	 0.3011543173 	          1 
13.5000000000 	 0.2925063010 	          1 
14.0000000000 	 0.2846745238 	          1 
14.5000000000 	 0.2776188158 	          1 
15.0000000000 	 0.2713009178 	          1 
15.5000000000 	 0.2656845639 	          1 
16.0000000000 	 0.2607350595 	          1 
16.5000000000 	 0.2564190303 	          1 
17.0000000000 	 0.2527047558 	          1 
17.5000000000 	 0.2495616193 	          1 
18.0000000000 	 0.2469594147 	          1 
18.5000000000 	 0.2448695245 	          1 
19.0000000000 	 0.2432639207 	          1 
19.5000000000 	 0.2420611404 	          1 
20.0000000000 	 0.2412017841 	          1 
20.5000000000 	 0.2406922212 	          1 
21.0000000000 	 0.2405378999 	          1 
21.5000000000 	 0.2407415473 	          1 
22.0000000000 	 0.2413039127 	          1 
22.5000000000 	 0.2422237610 	          1 
23.0000000000 	 0.2434981093 	          1 
23.5000000000 	 0.2451219638 	          1 
24.0000000000 	 0.2470891465 	          1 
24.5000000000 	 0.2493919029 	          1 
25.0000000000 	 0.2520203675 	          1 
25.5000000000 	 0.2549639876 	          1 
26.0000000000 	 0.2582110721 	          1 
26.5000000000 	 0.2617485837 	          1 
27.0000000000 	 0.2655626116 	          1 
27.5000000000 	 0.2696387016 	          1 
28.0000000000 	 0.2739612081 	          1 
28.5000000000 	 0.2785140293 	          1 
29.0000000000 	 0.2832797936 	          1 
29.5000000000 	 0.2882396557 	          1 
30.0000000000 	 0.2933740584 	          1 
30.5000000000 	 0.2986636428 	          1 
31.0000000000 	 0.3040899030 	          1 
31.5000000000 	 0.3096344297 	          1 
32.0000000000 	 0.3152792286 	          1 
32.5000000000 	 0.3210066660 	          1 
33.0000000000 	 0.3267999117 	          1 
33.5000000000 	 0.3326423113 	          1 
34.0000000000 	 0.3385177485 	          1 
34.5000000000 	 0.3444104321 	          1 
35.0000000000 	 0.3503060638 	          1 
35.5000000000 	 0.3561901072 	          1 
36.0000000000 	 0.3620484770 	          1 
36.5000000000 	 0.3678680112 	          1 
37.0000000000 	 0.3736364424 	          1 
37.5000000000 	 0.3793418347 	          1 
38.0000000000 	 0.3849723286 	          1 
38.5000000000 	 0.3905174926 	          1 
39.0000000000 	 0.3959672598 	          1 
39.5000000000 	 0.4013119656 	          1 
40.0000000000 	 0.4065425389 	          1 
40.5000000000 	 0.4116503577 	          1 
41.0000000000 	 0.4166269090 	          1 
41.5000000000 	 0.4214650363 	          1 
42.0000000000 	 0.4261577318 	          1 
42.5000000000 	 0.4306986459 	          1 
43.0000000000 	 0.4350815147 	          1 
43.5000000000 	 0.4393012342 	          1 
44.0000000000 	 0.4433528082 	          1 
44.5000000000 	 0.4472321394 	          1 
45.0000000000 	 0.4509352057 	          1 
45.5000000000 	 0.4544590640 	          1 
46.0000000000 	 0.4578006250 	          1 
46.5000000000 	 0.4609576995 	          1 
47.0000000000 	 0.4639288897 	          1 
47.5000000000 	 0.4667123954 	          1 
48.0000000000 	 0.4693080964 	          1 
48.5000000000 	 0.4717150916 	          1 
49.0000000000 	 0.4739341685 	          1 
49.5000000000 	 0.4759661249 	          1 
50.0000000000 	 0.4778114071 	          1 
50.5000000000 	 0.4794718973 	          1 
51.0000000000 	 0.4809495674 	          1 
51.5000000000 	 0.4822464534 	          1 
52.0000000000 	 0.4833653061 	          1 
52.5000000000 	 0.4843089472 	          1 
53.0000000000 	 0.4850812990 	          1 
53.5000000000 	 0.4856856544 	          1 
54.0000000000 	 0.4861259393 	          1 
54.5000000000 	 0.4864068303 	          1 
55.0000000000 	 0.4865321409 	          1 
55.5000000000 	 0.4865071453 	          1 
56.0000000000 	 0.4863363626 	          1 
56.5000000000 	 0.4860250400 	          1 
57.0000000000 	 0.4855790261 	          1 
57.5000000000 	 0.4850028836 	          1 
58.0000000000 	 0.4843029504 	          1 
58.5000000000 	 0.4834850717 	          1 
59.0000000000 	 0.4825541009 	          1 
59.5000000000 	 0.4815169386 	          1 
60.0000000000 	 0.4803793517 	          1 
60.5000000000 	 0.4791473533 	          1 
61.0000000000 	 0.4778270604 	          1 
61.5000000000 	 0.4764241916 	          1 
62.0000000000 	 0.4749456715 	          1 
62.5000000000 	 0.4733973378 	          1 
63.0000000000 	 0.4717849459 	          1 
63.5000000000 	 0.4701147710 	          1 
64.0000000000 	 0.4683932659 	          1 
64.5000000000 	 0.4666259395 	          1 
65.0000000000 	 0.4648187617 	          1 
65.5000000000 	 0.4629778237 	          1 
66.0000000000 	 0.4611079579 	          1 
66.5000000000 	 0.4592158143 	          1 
67.0000000000 	 0.4573066396 	          1 
67.5000000000 	 0.4553851120 	          1 
68.0000000000 	 0.4534564711 	          1 
68.5000000000 	 0.4515274458 	          1 
69.0000000000 	 0.4496019794 	          1 
69.5000000000 	 0.4476830011 	          1 
70.0000000000 	 0.4457782552 	          1 
70.5000000000 	 0.4438907491 	          1 
71.0000000000 	 0.4420229390 	          1 
71.5000000000 	 0.4401810795 	          1 
72.0000000000 	 0.4383695311 	          1 
72.5000000000 	 0.4365901711 	          1 
73.0000000000 	 0.4348467603 	          1 
73.5000000000 	 0.4331437988 	          1 
74.0000000000 	 0.4314829576 	          1 
74.5000000000 	 0.4298679392 	          1 
75.0000000000 	 0.4283017651 	          1 
75.5000000000 	 0.4267858881 	          1 
76.0000000000 	 0.4253233245 	          1 
76.5000000000 	 0.4239163326 	          1 
77.0000000000 	 0.4225662780 	          1 
77.5000000000 	 0.4212744038 	          1 
78.0000000000 	 0.4200441029 	          1 
78.5000000000 	 0.4188749168 	          1 
79.0000000000 	 0.4177675251 	          1 
79.5000000000 	 0.4167249937 	          1 
80.0000000000 	 0.4157467056 	          1 
80.5000000000 	 0.4148327073 	          1 
81.0000000000 	 0.4139832814 	          1 
81.5000000000 	 0.4132006552 	          1 
82.0000000000 	 0.4124834659 	          1 
82.5000000000 	 0.4118304726 	          1 
83.0000000000 	 0.4112437938 	          1 
83.5000000000 	 0.4107217168 	          1 
84.0000000000 	 0.4102635769 	          1 
84.5000000000 	 0.4098690596 	          1 
85.0000000000 	 0.4095368921 	          1 
85.5000000000 	 0.4092659923 	          1 
86.0000000000 	 0.4090570985 	          1 
86.5000000000 	 0.4089066187 	          1 
87.0000000000 	 0.4088138236 	          1 
87.5000000000 	 0.4087786642 	          1 
88.0000000000 	 0.4087979441 	          1 
88.5000000000 	 0.4088704601 	          1 
89.0000000000 	 0.4089955824 	          1 
89.5000000000 	 0.4091708753 	          1 
90.0000000000 	 0.4093944645 	          1 
90.5000000000 	 0.4096644880 	          1 
91.0000000000 	 0.4099789157 	          1 
91.5000000000 	 0.4103354539 	          1 
92.0000000000 	 0.4107335243 	          1 
92.5000000000 	 0.4111693235 	          1 
93.0000000000 	 0.4116412640 	          1 
93.5000000000 	 0.4121479208 	          1 
94.0000000000 	 0.4126863874 	          1 
94.5000000000 	 0.4132545748 	          1 
95.0000000000 	 0.4138509447 	          1 
95.5000000000 	 0.4144729538 	          1 
96.0000000000 	 0.4151177064 	          1 
96.5000000000 	 0.4157846038 	          1 
97.0000000000 	 0.4164709333 	          1 
97.5000000000 	 0.4171735138 	          1 
98.0000000000 	 0.4178914920 	          1 
98.5000000000 	 0.4186225425 	          1 
99.0000000000 	 0.4193643773 	          1 
99.5000000000 	 0.4201144528 	          1 
100.0000000000 	 0.4208720202 	          1 
100.5000000000 	 0.4216344726 	          1 
101.0000000000 	 0.4224001389 	          1 
101.5000000000 	 0.4231671690 	          1 
102.0000000000 	 0.4239338935 	          1 
102.5000000000 	 0.4246980542 	          1 
103.0000000000 	 0.4254583181 	          1 
103.5000000000 	 0.4262133255 	          1 
104.0000000000 	 0.4269615431 	          1 
104.5000000000 	 0.4277007686 	          1 
105.0000000000 	 0.4284310140 	          1 
105.5000000000 	 0.4291494773 	          1 
106.0000000000 	 0.4298554032 	          1 
106.5000000000 	 0.4305474267 	          1 
107.0000000000 	 0.4312246014 	          1 
107.5000000000 	 0.4318859116 	          1 
108.0000000000 	 0.4325303314 	          1 
108.5000000000 	 0.4331569730 	          1 
109.0000000000 	 0.4337644396 	          1 
109.5000000000 	 0.4343528811 	          1 
110.0000000000 	 0.4349214987 	          1 
110.5000000000 	 0.4354689076 	          1 
111.0000000000 	 0.4359952805 	          1 
111.5000000000 	 0.4364998661 	          1 
112.0000000000 	 0.4369821345 	          1 
112.5000000000 	 0.4374412537 	          1 
113.0000000000 	 0.4378779725 	          1 
113.5000000000 	 0.4382913624 	          1 
114.0000000000 	 0.4386802971 	          1 
114.5000000000 	 0.4390465255 	          1 
115.0000000000 	 0.4393896542 	          1 
115.5000000000 	 0.4397079110 	          1 
116.0000000000 	 0.4400027636 	          1 
116.5000000000 	 0.4402744918 	          1 
117.0000000000 	 0.4405230022 	          1 
117.5000000000 	 0.4407484896 	          1 
118.0000000000 	 0.4409509584 	          1 
118.5000000000 	 0.4411302727 	          1 
119.0000000000 	 0.4412886617 	          1 
119.5000000000 	 0.4414255216 	          1 
120.0000000000 	 0.4415390855 	          1 
120.5000000000 	 0.4416334147 	          1 
121.0000000000 	 0.4417077634 	          1 
121.5000000000 	 0.4417611576 	          1 
122.0000000000 	 0.4417950710 	          1 
122.5000000000 	 0.4418114226 	          1 
123.0000000000 	 0.4418094659 	          1 
123.5000000000 	 0.4417892407 	          1 
124.0000000000 	 0.4417524455 	          1 
124.5000000000 	 0.4417004610 	          1 
125.0000000000 	 0.4416333796 	          1 
125.5000000000 	 0.4415514668 	          1 
126.0000000000 	 0.4414550995 	          1 
